work_unit_id,experiment_kind,status,error,replication,batching_mode,batching_window,sweep_index
timestamp_quantization:0.25:7,batching_comparison,complete,,7,timestamp_quantization,0.25,148
timestamp_quantization:0.25:8,batching_comparison,complete,,8,timestamp_quantization,0.25,168
timestamp_quantization:0.25:9,batching_comparison,complete,,9,timestamp_quantization,0.25,188
timestamp_quantization:0.5:0,batching_comparison,complete,,0,timestamp_quantization,0.5,9
timestamp_quantization:0.5:1,batching_comparison,complete,,1,timestamp_quantization,0.5,29
timestamp_quantization:0.5:2,batching_comparison,complete,,2,timestamp_quantization,0.5,49
timestamp_quantization:0.5:3,batching_comparison,complete,,3,timestamp_quantization,0.5,69
timestamp_quantization:0.5:4,batching_comparison,complete,,4,timestamp_quantization,0.5,89
timestamp_quantization:0.5:5,batching_comparison,complete,,5,timestamp_quantization,0.5,109
timestamp_quantization:0.5:6,batching_comparison,complete,,6,timestamp_quantization,0.5,129
timestamp_quantization:0.5:7,batching_comparison,complete,,7,timestamp_quantization,0.5,149
timestamp_quantization:0.5:8,batching_comparison,complete,,8,timestamp_quantization,0.5,169
timestamp_quantization:0.5:9,batching_comparison,complete,,9,timestamp_quantization,0.5,189
timestamp_quantization:0.75:0,batching_comparison,complete,,0,timestamp_quantization,0.75,10
timestamp_quantization:0.75:1,batching_comparison,complete,,1,timestamp_quantization,0.75,30
timestamp_quantization:0.75:2,batching_comparison,complete,,2,timestamp_quantization,0.75,50
timestamp_quantization:0.75:3,batching_comparison,complete,,3,timestamp_quantization,0.75,70
timestamp_quantization:0.75:4,batching_comparison,complete,,4,timestamp_quantization,0.75,90
timestamp_quantization:0.75:5,batching_comparison,complete,,5,timestamp_quantization,0.75,110
timestamp_quantization:0.75:6,batching_comparison,complete,,6,timestamp_quantization,0.75,130
timestamp_quantization:0.75:7,batching_comparison,complete,,7,timestamp_quantization,0.75,150
timestamp_quantization:0.75:8,batching_comparison,complete,,8,timestamp_quantization,0.75,170
timestamp_quantization:0.75:9,batching_comparison,complete,,9,timestamp_quantization,0.75,190
timestamp_quantization:1.0:0,batching_comparison,complete,,0,timestamp_quantization,1.0,11
timestamp_quantization:1.0:1,batching_comparison,complete,,1,timestamp_quantization,1.0,31
timestamp_quantization:1.0:2,batching_comparison,complete,,2,timestamp_quantization,1.0,51
timestamp_quantization:1.0:3,batching_comparison,complete,,3,timestamp_quantization,1.0,71
timestamp_quantization:1.0:4,batching_comparison,complete,,4,timestamp_quantization,1.0,91
timestamp_quantization:1.0:5,batching_comparison,complete,,5,timestamp_quantization,1.0,111
timestamp_quantization:1.0:6,batching_comparison,complete,,6,timestamp_quantization,1.0,131
timestamp_quantization:1.0:7,batching_comparison,complete,,7,timestamp_quantization,1.0,151
timestamp_quantization:1.0:8,batching_comparison,complete,,8,timestamp_quantization,1.0,171
timestamp_quantization:1.0:9,batching_comparison,complete,,9,timestamp_quantization,1.0,191
